epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.217,1.13792,2.16149,1.18313,0.58638,0.67174,0.62129,0.49492,1.21234,1.37271,1.23392,0.000175216,0.000175216,0.000175216
2,193.251,1.1829,1.47033,1.23593,0.50459,0.71277,0.64312,0.52602,1.36223,1.44939,1.3566,0.000343608,0.000343608,0.000343608
3,286.293,1.22988,1.49822,1.28276,0.60699,0.70184,0.67776,0.55066,1.3879,1.50492,1.37245,0.000505057,0.000505057,0.000505057
4,378.961,1.20969,1.39746,1.27053,0.71486,0.70559,0.69148,0.57432,1.43167,1.45305,1.41778,0.000494756,0.000494756,0.000494756
5,471.528,1.19797,1.35701,1.26924,0.70797,0.7172,0.6938,0.58377,1.37025,1.41308,1.35682,0.000484341,0.000484341,0.000484341
6,564.084,1.17746,1.31082,1.26096,0.72981,0.75724,0.71301,0.59412,1.33951,1.36563,1.345,0.000473926,0.000473926,0.000473926
7,656.64,1.15604,1.25316,1.24069,0.73668,0.73871,0.71294,0.594,1.33671,1.32146,1.34515,0.000463511,0.000463511,0.000463511
8,749.19,1.12912,1.2095,1.22516,0.69968,0.77142,0.72583,0.61204,1.32309,1.31109,1.33535,0.000453096,0.000453096,0.000453096
9,841.654,1.09309,1.14816,1.20743,0.81049,0.72434,0.75872,0.64586,1.30904,1.29562,1.33239,0.000442682,0.000442682,0.000442682
10,933.991,1.09417,1.14444,1.20582,0.78961,0.76026,0.78058,0.65699,1.27176,1.2131,1.30391,0.000432267,0.000432267,0.000432267
11,1026.4,1.08468,1.10724,1.19861,0.77854,0.76402,0.77326,0.65705,1.31997,1.28719,1.33232,0.000421852,0.000421852,0.000421852
12,1118.69,1.08364,1.07961,1.18747,0.81488,0.77838,0.79128,0.66313,1.2878,1.21667,1.31788,0.000411437,0.000411437,0.000411437
13,1211.18,1.05756,1.04528,1.17622,0.77462,0.77096,0.79257,0.66953,1.2807,1.21222,1.315,0.000401022,0.000401022,0.000401022
14,1303.01,1.03562,1.01772,1.16573,0.83438,0.77701,0.80356,0.67952,1.25658,1.18126,1.2909,0.000390608,0.000390608,0.000390608
15,1395.1,1.02926,1.01446,1.16394,0.83021,0.76353,0.78822,0.67752,1.25172,1.15746,1.28935,0.000380193,0.000380193,0.000380193
16,1486.76,1.03598,0.99943,1.15956,0.81996,0.79275,0.80403,0.68167,1.26348,1.15856,1.29783,0.000369778,0.000369778,0.000369778
17,1578.76,1.01417,0.97284,1.15363,0.8263,0.78123,0.80512,0.68275,1.2538,1.15209,1.2853,0.000359363,0.000359363,0.000359363
